"Date","Price","Open","High","Low","Change %"
"Sep 07, 2018","0.1560","0.1517","0.1571","0.1506","2.63%"
"Sep 06, 2018","0.1520","0.1515","0.1532","0.1507","0.40%"
"Sep 05, 2018","0.1514","0.1498","0.1524","0.1484","1.00%"
"Sep 04, 2018","0.1499","0.1504","0.1517","0.1480","-0.53%"
"Sep 03, 2018","0.1507","0.1527","0.1537","0.1462","-0.75%"
"Sep 02, 2018","0.1518","0.1527","0.1527","0.1517","-0.76%"
"Aug 31, 2018","0.1530","0.1507","0.1573","0.1457","1.73%"
"Aug 30, 2018","0.1504","0.1543","0.1558","0.1449","-2.65%"
"Aug 29, 2018","0.1545","0.1598","0.1608","0.1542","-3.13%"
"Aug 28, 2018","0.1595","0.1640","0.1641","0.1580","-2.33%"
"Aug 27, 2018","0.1633","0.1664","0.1671","0.1582","-2.27%"
"Aug 26, 2018","0.1671","0.1666","0.1672","0.1666","0.42%"
"Aug 24, 2018","0.1664","0.1641","0.1666","0.1618","1.90%"
"Aug 23, 2018","0.1633","0.1654","0.1675","0.1624","-1.21%"
"Aug 22, 2018","0.1653","0.1645","0.1665","0.1634","0.43%"
"Aug 21, 2018","0.1646","0.1651","0.1669","0.1623","0.06%"
"Aug 20, 2018","0.1645","0.1652","0.1678","0.1615","-1.17%"
"Aug 19, 2018","0.1664","0.1662","0.1672","0.1662","0.09%"
"Aug 17, 2018","0.1663","0.1714","0.1741","0.1570","-3.09%"
"Aug 16, 2018","0.1716","0.1675","0.1757","0.1649","2.82%"
"Aug 15, 2018","0.1669","0.1573","0.1712","0.1521","6.10%"
"Aug 14, 2018","0.1573","0.1452","0.1587","0.1429","8.26%"
"Aug 13, 2018","0.1453","0.1560","0.1561","0.1387","-0.84%"
"Aug 12, 2018","0.1465","0.1562","0.1562","0.1402","-5.83%"
"Aug 10, 2018","0.1556","0.1802","0.1807","0.1468","-13.75%"
"Aug 09, 2018","0.1804","0.1895","0.1897","0.1797","-4.75%"
"Aug 08, 2018","0.1894","0.1913","0.1917","0.1884","-0.63%"
"Aug 07, 2018","0.1906","0.1875","0.1933","0.1862","1.55%"
"Aug 06, 2018","0.1877","0.1968","0.1968","0.1842","-4.25%"
"Aug 05, 2018","0.1960","0.1968","0.1968","0.1957","-0.39%"
"Aug 03, 2018","0.1968","0.1971","0.1978","0.1954","-0.30%"
"Aug 02, 2018","0.1974","0.2002","0.2016","0.1963","-1.40%"
"Aug 01, 2018","0.2002","0.2036","0.2039","0.1994","-1.62%"
"Jul 31, 2018","0.2035","0.2049","0.2053","0.2030","-0.63%"
"Jul 30, 2018","0.2048","0.2062","0.2065","0.2036","-0.54%"
"Jul 29, 2018","0.2059","0.2061","0.2061","0.2058","-0.09%"
"Jul 27, 2018","0.2061","0.2056","0.2067","0.2047","0.24%"
"Jul 26, 2018","0.2056","0.2094","0.2095","0.2046","-1.86%"
"Jul 25, 2018","0.2095","0.2047","0.2099","0.2046","2.39%"
"Jul 24, 2018","0.2046","0.2109","0.2112","0.2024","-2.99%"
"Jul 23, 2018","0.2109","0.2087","0.2112","0.2082","0.79%"
"Jul 22, 2018","0.2092","0.2085","0.2093","0.2085","0.26%"
"Jul 20, 2018","0.2087","0.2079","0.2097","0.2069","0.29%"
"Jul 19, 2018","0.2081","0.2087","0.2092","0.2067","-0.24%"
"Jul 18, 2018","0.2086","0.2082","0.2099","0.2062","0.24%"
"Jul 17, 2018","0.2081","0.2064","0.2095","0.2057","0.82%"
"Jul 16, 2018","0.2064","0.2062","0.2074","0.2054","0.24%"
"Jul 15, 2018","0.2059","0.2060","0.2064","0.2054","0.00%"
"Jul 13, 2018","0.2059","0.2059","0.2079","0.2049","0.00%"
"Jul 12, 2018","0.2059","0.2051","0.2092","0.2004","0.39%"
"Jul 11, 2018","0.2051","0.2124","0.2130","0.2049","-3.44%"
"Jul 10, 2018","0.2124","0.2114","0.2156","0.2103","0.57%"
"Jul 09, 2018","0.2112","0.2187","0.2217","0.2104","-3.28%"
"Jul 08, 2018","0.2184","0.2186","0.2186","0.2182","-0.20%"
"Jul 06, 2018","0.2188","0.2177","0.2189","0.2165","0.51%"
"Jul 05, 2018","0.2177","0.2144","0.2183","0.2132","1.63%"
"Jul 04, 2018","0.2142","0.2140","0.2145","0.2115","0.05%"
"Jul 03, 2018","0.2141","0.2165","0.2170","0.2133","-1.15%"
"Jul 02, 2018","0.2166","0.2179","0.2184","0.2154","-0.45%"
"Jul 01, 2018","0.2176","0.2180","0.2180","0.2171","-0.20%"
"Jun 29, 2018","0.2180","0.2182","0.2197","0.2167","-0.05%"
"Jun 28, 2018","0.2181","0.2164","0.2186","0.2149","0.83%"
"Jun 27, 2018","0.2163","0.2167","0.2178","0.2147","-0.18%"
"Jun 26, 2018","0.2167","0.2135","0.2172","0.2119","1.40%"
"Jun 25, 2018","0.2137","0.2145","0.2205","0.2117","-1.44%"
"Jun 24, 2018","0.2168","0.2138","0.2179","0.2138","1.41%"
"Jun 22, 2018","0.2138","0.2117","0.2145","0.2104","0.99%"
"Jun 21, 2018","0.2117","0.2114","0.2120","0.2097","0.19%"
"Jun 20, 2018","0.2113","0.2107","0.2115","0.2095","0.14%"
"Jun 19, 2018","0.2110","0.2126","0.2134","0.2092","-0.71%"
"Jun 18, 2018","0.2125","0.2114","0.2139","0.2105","0.77%"
"Jun 17, 2018","0.2109","0.2114","0.2114","0.2108","-0.24%"
